process_step,Variation,Drop-Off Rate (%),Avg Time per Step (min),Completion Rate (%),Avg Session Time (min),Error Rate (%)
confirm,Control,,2.011699824062796,12.35,6.75,87.65
start,Control,13.930390855772927,0.8139314531053371,12.35,6.75,87.65
step_1,Control,6.4343507855644475,0.6929477569562749,12.35,6.75,87.65
step_2,Control,5.244231345519935,0.6387903131458877,12.35,6.75,87.65
step_3,Control,8.476390256432211,1.542013997468543,12.35,6.75,87.65
confirm,Test,,1.6931130678512878,14.46,7.14,85.54
start,Test,9.111437281246467,0.8963726772779029,14.46,7.14,85.54
step_1,Test,7.594746151819663,0.5959090790196437,14.46,7.14,85.54
step_2,Test,5.174814647548075,0.7540766481985378,14.46,7.14,85.54
step_3,Test,8.106582364231684,1.5321963885282663,14.46,7.14,85.54
